Date Time,Event,Actual
7/23/12,Chicago Fed Nat Activity Index,-0.15
7/24/12,Richmond Fed Manufact. Index,-17
7/24/12,FHFA House Price Index MoM,0.80%
7/25/12,MBA Mortgage Applications,0.90%
7/25/12,New Home Sales,350
7/25/12,New Home Sales MoM,-8.40%
7/26/12,Durable Goods Orders,1.60%
7/26/12,Durables Ex Transportation,-1.10%
7/26/12,Cap Goods Orders Nondef Ex Air,-1.40%
7/26/12,Cap Goods Ship Nondef Ex Air,1.20%
7/26/12,Initial Jobless Claims,353
7/26/12,Continuing Claims,3287
7/26/12,Langer Consumer Comfort,-38.5
7/26/12,Pending Home Sales MoM,-1.40%
7/26/12,Pending Home Sales NSA YoY,8.40%
7/26/12,Kansas City Fed Manf. Activity,5
7/27/12,GDP Annualized QoQ,1.50%
7/27/12,Personal Consumption,1.50%
7/27/12,GDP Price Index,1.60%
7/27/12,Core PCE QoQ,1.80%
7/27/12,U. of Mich. Sentiment,72.3
7/30/12,Dallas Fed Manf. Activity,-13.2
7/31/12,Personal Income,0.50%
7/31/12,Personal Spending,0.00%
7/31/12,PCE Deflator MoM,0.10%
7/31/12,PCE Deflator YoY,1.50%
7/31/12,PCE Core Deflator MoM,0.20%
7/31/12,PCE Core Deflator YoY,1.80%
7/31/12,Employment Cost Index,0.50%
7/31/12,MNI Chicago PMI,53.7
7/31/12,Conf. Board Consumer Confidence,65.9
8/1/12,MBA Mortgage Applications,0.20%
8/1/12,ADP Employment Change,163
8/1/12,ISM Manufacturing,49.8
8/1/12,ISM Prices Paid,39.5
8/1/12,Construction Spending MoM,0.40%
8/1/12,FOMC Rate Decision (Upper Bound),0.25%
8/1/12,Wards Total Vehicle Sales,14.05
8/2/12,Challenger Job Cuts YoY,-44.50%
8/2/12,Initial Jobless Claims,365
8/2/12,Continuing Claims,3272
8/2/12,Langer Consumer Comfort,-39.7
8/2/12,Factory Orders,-0.50%
8/3/12,Change in Nonfarm Payrolls,163
8/3/12,Change in Private Payrolls,172
8/3/12,Change in Manufact. Payrolls,25
8/3/12,Unemployment Rate,8.30%
8/3/12,Average Hourly Earnings MoM,0.10%
8/3/12,Average Hourly Earnings YoY,1.70%
8/3/12,Average Weekly Hours All Employees,34.5
8/3/12,Underemployment Rate,15.00%
8/3/12,ISM Services Index,52.6
8/7/12,JOLTS Job Openings,3762
8/7/12,Consumer Credit,$6.46 
8/8/12,MBA Mortgage Applications,-1.80%
8/8/12,Nonfarm Productivity,1.60%
8/8/12,Unit Labor Costs,1.70%
8/9/12,Trade Balance,($42.90)
8/9/12,Initial Jobless Claims,361
8/9/12,Continuing Claims,3332
8/9/12,Langer Consumer Comfort,-41.9
8/9/12,Wholesale Inventories MoM,-0.20%
8/9/12,Mortgage Delinquencies,7.58%
8/9/12,MBA Mortgage Foreclosures,4.27%
8/10/12,Import Price Index MoM,-0.60%
8/10/12,Import Price Index YoY,-3.20%
8/10/12,Monthly Budget Statement,($69.60)
8/14/12,NFIB Small Business Optimism,91.2
8/14/12,Retail Sales Advance MoM,0.80%
8/14/12,Retail Sales Ex Auto MoM,0.80%
8/14/12,Retail Sales Ex Auto and Gas,0.90%
8/14/12,Retail Sales Control Group,0.90%
8/14/12,Business Inventories,0.10%
8/15/12,MBA Mortgage Applications,-4.50%
8/15/12,CPI MoM,0.00%
8/15/12,CPI Ex Food and Energy MoM,0.10%
8/15/12,CPI YoY,1.40%
8/15/12,CPI Ex Food and Energy YoY,2.10%
8/15/12,CPI Index NSA,229.104
8/15/12,CPI Core Index SA,230.124
8/15/12,Empire Manufacturing,-5.9
8/15/12,Total Net TIC Flows,$16.70 
8/15/12,Net Long-term TIC Flows,$9.30 
8/15/12,Industrial Production MoM,0.60%
8/15/12,Capacity Utilization,79.30%
8/15/12,Manufacturing (SIC) Production,0.50%
8/15/12,NAHB Housing Market Index,37
8/16/12,Initial Jobless Claims,366
8/16/12,Housing Starts,746
8/16/12,Continuing Claims,3305
8/16/12,Housing Starts MoM,-1.10%
8/16/12,Building Permits,812
8/16/12,Langer Consumer Comfort,-44.4
8/16/12,Philadelphia Fed Business Outlook,-7.1
8/17/12,U. of Mich. Sentiment,73.6
8/17/12,Leading Index,0.40%
8/20/12,Chicago Fed Nat Activity Index,-0.13
8/22/12,MBA Mortgage Applications,-7.40%
8/22/12,Existing Home Sales,4.47
8/22/12,Existing Home Sales MoM,2.30%
8/22/12,FOMC Meeting Minutes,--
8/23/12,Initial Jobless Claims,372
8/23/12,Continuing Claims,3317
8/23/12,Langer Consumer Comfort,-47.4
8/23/12,New Home Sales,372
8/23/12,New Home Sales MoM,3.60%
8/23/12,FHFA House Price Index MoM,0.70%
8/23/12,House Price Purchase Index QoQ,1.80%
8/24/12,Durable Goods Orders,4.20%
8/24/12,Durables Ex Transportation,-0.40%
8/24/12,Cap Goods Orders Nondef Ex Air,-3.40%
8/24/12,Cap Goods Ship Nondef Ex Air,0.00%
8/27/12,Dallas Fed Manf. Activity,-1.6
8/28/12,Richmond Fed Manufact. Index,-9
8/28/12,Conf. Board Consumer Confidence,60.6
8/29/12,MBA Mortgage Applications,-4.30%
8/29/12,GDP Annualized QoQ,1.70%
8/29/12,Personal Consumption,1.70%
8/29/12,GDP Price Index,1.60%
8/29/12,Core PCE QoQ,1.80%
8/29/12,Pending Home Sales MoM,2.40%
8/29/12,Pending Home Sales NSA YoY,15.00%
8/30/12,Personal Income,0.30%
8/30/12,Personal Spending,0.40%
8/30/12,PCE Deflator MoM,0.00%
8/30/12,PCE Deflator YoY,1.30%
8/30/12,PCE Core Deflator MoM,0.00%
8/30/12,PCE Core Deflator YoY,1.60%
8/30/12,Initial Jobless Claims,374
8/30/12,Continuing Claims,3316
8/30/12,Langer Consumer Comfort,-47.3
8/30/12,Kansas City Fed Manf. Activity,8
8/31/12,MNI Chicago PMI,53
8/31/12,U. of Mich. Sentiment,74.3
8/31/12,Factory Orders,2.80%
9/4/12,ISM Manufacturing,49.6
9/4/12,ISM Prices Paid,54
9/4/12,Construction Spending MoM,-0.90%
9/4/12,Wards Total Vehicle Sales,14.46
9/5/12,MBA Mortgage Applications,-2.50%
9/5/12,Nonfarm Productivity,2.20%
9/5/12,Unit Labor Costs,1.50%
9/6/12,Challenger Job Cuts YoY,-36.90%
9/6/12,ADP Employment Change,201
9/6/12,Initial Jobless Claims,365
9/6/12,Continuing Claims,3322
9/6/12,Langer Consumer Comfort,-46.5
9/6/12,ISM Services Index,53.7
9/7/12,Change in Nonfarm Payrolls,96
9/7/12,Change in Private Payrolls,103
9/7/12,Change in Manufact. Payrolls,-15
9/7/12,Unemployment Rate,8.10%
9/7/12,Average Hourly Earnings MoM,0.00%
9/7/12,Average Hourly Earnings YoY,1.70%
9/7/12,Average Weekly Hours All Employees,34.4
9/7/12,Underemployment Rate,14.70%
9/10/12,Consumer Credit,($3.28)
9/11/12,NFIB Small Business Optimism,92.9
9/11/12,Trade Balance,($42.00)
9/11/12,JOLTS Job Openings,3664
9/12/12,MBA Mortgage Applications,11.10%
9/12/12,Import Price Index MoM,0.70%
9/12/12,Import Price Index YoY,-2.20%
9/12/12,Wholesale Inventories MoM,0.70%
9/13/12,Initial Jobless Claims,382
9/13/12,Continuing Claims,3283
9/13/12,Langer Consumer Comfort,-42.2
9/13/12,FOMC Rate Decision (Upper Bound),0.25%
9/13/12,Monthly Budget Statement,($190.50)
9/14/12,CPI MoM,0.60%
9/14/12,CPI Ex Food and Energy MoM,0.10%
9/14/12,CPI YoY,1.70%
9/14/12,CPI Ex Food and Energy YoY,1.90%
9/14/12,CPI Index NSA,230.379
9/14/12,CPI Core Index SA,230.244
9/14/12,Retail Sales Advance MoM,0.90%
9/14/12,Retail Sales Ex Auto MoM,0.80%
9/14/12,Retail Sales Ex Auto and Gas,0.10%
9/14/12,Retail Sales Control Group,-0.10%
9/14/12,Industrial Production MoM,-1.20%
9/14/12,Capacity Utilization,78.20%
9/14/12,Manufacturing (SIC) Production,-0.70%
9/14/12,U. of Mich. Sentiment,79.2
9/14/12,Business Inventories,0.80%
9/17/12,Empire Manufacturing,-10.4
9/18/12,Current Account Balance,($117.40)
9/18/12,Total Net TIC Flows,$73.70 
9/18/12,Net Long-term TIC Flows,$67.00 
9/18/12,NAHB Housing Market Index,40
9/19/12,MBA Mortgage Applications,-0.20%
9/19/12,Housing Starts,750
9/19/12,Housing Starts MoM,2.30%
9/19/12,Building Permits,803
9/19/12,Existing Home Sales,4.82
9/19/12,Existing Home Sales MoM,7.80%
9/20/12,Initial Jobless Claims,382
9/20/12,Continuing Claims,3272
9/20/12,Langer Consumer Comfort,-40.8
9/20/12,Philadelphia Fed Business Outlook,-1.9
9/20/12,Leading Index,-0.10%
9/20/12,Household Change in Net Worth,($322)
9/24/12,Chicago Fed Nat Activity Index,-0.87
9/24/12,Dallas Fed Manf. Activity,-0.9
9/25/12,Richmond Fed Manufact. Index,4
9/25/12,Conf. Board Consumer Confidence,70.3
9/25/12,FHFA House Price Index MoM,0.20%
9/26/12,MBA Mortgage Applications,2.80%
9/26/12,New Home Sales,373
9/26/12,New Home Sales MoM,-0.30%
9/27/12,GDP Annualized QoQ,1.30%
9/27/12,Personal Consumption,1.50%
9/27/12,GDP Price Index,1.60%
9/27/12,Core PCE QoQ,1.70%
9/27/12,Durable Goods Orders,-13.20%
9/27/12,Durables Ex Transportation,-1.60%
9/27/12,Cap Goods Orders Nondef Ex Air,1.10%
9/27/12,Cap Goods Ship Nondef Ex Air,-0.90%
9/27/12,Initial Jobless Claims,359
9/27/12,Continuing Claims,3271
9/27/12,Langer Consumer Comfort,-39.6
9/27/12,Pending Home Sales MoM,-2.60%
9/27/12,Pending Home Sales NSA YoY,9.60%
9/27/12,Kansas City Fed Manf. Activity,2
9/28/12,Personal Income,0.10%
9/28/12,Personal Spending,0.50%
9/28/12,PCE Deflator MoM,0.40%
9/28/12,PCE Deflator YoY,1.50%
9/28/12,PCE Core Deflator MoM,0.10%
9/28/12,PCE Core Deflator YoY,1.60%
9/28/12,MNI Chicago PMI,49.7
9/28/12,U. of Mich. Sentiment,78.3
10/1/12,ISM Manufacturing,51.5
10/1/12,ISM Prices Paid,58
10/1/12,Construction Spending MoM,-0.60%
10/2/12,Wards Total Vehicle Sales,14.88
10/3/12,MBA Mortgage Applications,16.60%
10/3/12,ADP Employment Change,162
10/3/12,ISM Services Index,55.1
10/4/12,Challenger Job Cuts YoY,-70.80%
10/4/12,Initial Jobless Claims,367
10/4/12,Continuing Claims,3281
10/4/12,Langer Consumer Comfort,-36.9
10/4/12,Factory Orders,-5.20%
10/4/12,FOMC Meeting Minutes,--
10/5/12,Change in Nonfarm Payrolls,114
10/5/12,Change in Private Payrolls,104
10/5/12,Change in Manufact. Payrolls,-16
10/5/12,Unemployment Rate,7.80%
10/5/12,Average Hourly Earnings MoM,0.30%
10/5/12,Average Hourly Earnings YoY,1.80%
10/5/12,Average Weekly Hours All Employees,34.5
10/5/12,Underemployment Rate,14.70%
10/5/12,Consumer Credit,$18.12 
10/9/12,NFIB Small Business Optimism,92.8
10/10/12,MBA Mortgage Applications,-1.20%
10/10/12,Wholesale Inventories MoM,0.50%
10/10/12,JOLTS Job Openings,3561
10/11/12,Import Price Index MoM,1.10%
10/11/12,Import Price Index YoY,-0.60%
10/11/12,Trade Balance,($44.20)
10/11/12,Initial Jobless Claims,339
10/11/12,Continuing Claims,3273
10/11/12,Langer Consumer Comfort,-38.5
10/12/12,U. of Mich. Sentiment,83.1
10/12/12,Monthly Budget Statement,$75.00 
10/15/12,Empire Manufacturing,-6.2
10/15/12,Retail Sales Advance MoM,1.10%
10/15/12,Retail Sales Ex Auto MoM,1.10%
10/15/12,Retail Sales Ex Auto and Gas,0.90%
10/15/12,Retail Sales Control Group,0.90%
10/15/12,Business Inventories,0.60%
10/16/12,CPI MoM,0.60%
10/16/12,CPI Ex Food and Energy MoM,0.10%
10/16/12,CPI YoY,2.00%
10/16/12,CPI Ex Food and Energy YoY,2.00%
10/16/12,CPI Index NSA,231.407
10/16/12,CPI Core Index SA,230.58
10/16/12,Total Net TIC Flows,$91.40 
10/16/12,Net Long-term TIC Flows,$90.00 
10/16/12,Industrial Production MoM,0.40%
10/16/12,Capacity Utilization,78.30%
10/16/12,Manufacturing (SIC) Production,0.20%
10/16/12,NAHB Housing Market Index,41
10/17/12,MBA Mortgage Applications,-4.20%
10/17/12,Housing Starts,872
10/17/12,Housing Starts MoM,15.00%
10/17/12,Building Permits,894
10/18/12,Initial Jobless Claims,388
10/18/12,Continuing Claims,3252
10/18/12,Langer Consumer Comfort,-34.8
10/18/12,Philadelphia Fed Business Outlook,5.7
10/18/12,Leading Index,0.60%
10/19/12,Existing Home Sales,4.75
10/19/12,Existing Home Sales MoM,-1.70%
10/23/12,Richmond Fed Manufact. Index,-7
10/23/12,FHFA House Price Index MoM,0.70%
10/24/12,MBA Mortgage Applications,-12.00%
10/24/12,New Home Sales,389
10/24/12,New Home Sales MoM,5.70%
10/24/12,FOMC Rate Decision (Upper Bound),0.25%
10/25/12,Chicago Fed Nat Activity Index,0
10/25/12,Durable Goods Orders,9.90%
10/25/12,Durables Ex Transportation,2.00%
10/25/12,Cap Goods Orders Nondef Ex Air,0.00%
10/25/12,Cap Goods Ship Nondef Ex Air,-0.30%
10/25/12,Initial Jobless Claims,369
10/25/12,Continuing Claims,3254
10/25/12,Langer Consumer Comfort,-34.6
10/25/12,Pending Home Sales MoM,0.30%
10/25/12,Pending Home Sales NSA YoY,8.50%
10/25/12,Kansas City Fed Manf. Activity,-4
10/26/12,GDP Annualized QoQ,2.00%
10/26/12,Personal Consumption,2.00%
10/26/12,GDP Price Index,2.80%
10/26/12,Core PCE QoQ,1.30%
10/26/12,U. of Mich. Sentiment,82.6
10/29/12,Personal Income,0.40%
10/29/12,Personal Spending,0.80%
10/29/12,PCE Deflator MoM,0.40%
10/29/12,PCE Deflator YoY,1.70%
10/29/12,PCE Core Deflator MoM,0.10%
10/29/12,PCE Core Deflator YoY,1.70%
10/29/12,Dallas Fed Manf. Activity,1.8
10/31/12,MBA Mortgage Applications,-4.80%
10/31/12,Employment Cost Index,0.40%
10/31/12,MNI Chicago PMI,49.9
11/1/12,Challenger Job Cuts YoY,11.60%
11/1/12,ADP Employment Change,158
11/1/12,Nonfarm Productivity,1.90%
11/1/12,Unit Labor Costs,-0.10%
11/1/12,Initial Jobless Claims,363
11/1/12,Continuing Claims,3263
11/1/12,Langer Consumer Comfort,-34.7
11/1/12,Conf. Board Consumer Confidence,72.2
11/1/12,ISM Manufacturing,51.7
11/1/12,ISM Prices Paid,55
11/1/12,Construction Spending MoM,0.60%
11/1/12,Wards Total Vehicle Sales,14.22
11/2/12,Change in Nonfarm Payrolls,171
11/2/12,Change in Private Payrolls,184
11/2/12,Change in Manufact. Payrolls,13
11/2/12,Unemployment Rate,7.90%
11/2/12,Average Hourly Earnings MoM,0.00%
11/2/12,Average Hourly Earnings YoY,1.60%
11/2/12,Average Weekly Hours All Employees,34.4
11/2/12,Underemployment Rate,14.60%
11/2/12,Factory Orders,4.80%
11/5/12,ISM Services Index,54.2
11/6/12,JOLTS Job Openings,3561
11/7/12,MBA Mortgage Applications,-5.00%
11/7/12,Consumer Credit,$11.37 
11/8/12,Trade Balance,($41.50)
11/8/12,Initial Jobless Claims,355
11/8/12,Continuing Claims,3127
11/8/12,Langer Consumer Comfort,-34.4
11/9/12,Import Price Index MoM,0.50%
11/9/12,Import Price Index YoY,0.40%
11/9/12,U. of Mich. Sentiment,84.9
11/9/12,Wholesale Inventories MoM,1.10%
11/13/12,NFIB Small Business Optimism,93.1
11/13/12,Monthly Budget Statement,($120.00)
11/14/12,MBA Mortgage Applications,12.60%
11/14/12,Retail Sales Advance MoM,-0.30%
11/14/12,Retail Sales Ex Auto MoM,0.00%
11/14/12,Retail Sales Ex Auto and Gas,-0.30%
11/14/12,Retail Sales Control Group,-0.10%
11/14/12,Business Inventories,0.70%
11/14/12,FOMC Meeting Minutes,--
11/15/12,CPI MoM,0.10%
11/15/12,CPI Ex Food and Energy MoM,0.20%
11/15/12,CPI YoY,2.20%
11/15/12,CPI Ex Food and Energy YoY,2.00%
11/15/12,CPI Index NSA,231.317
11/15/12,CPI Core Index SA,230.994
11/15/12,Empire Manufacturing,-5.2
11/15/12,Initial Jobless Claims,439
11/15/12,Continuing Claims,3334
11/15/12,Langer Consumer Comfort,-33.1
11/15/12,Mortgage Delinquencies,7.40%
11/15/12,MBA Mortgage Foreclosures,4.07%
11/15/12,Philadelphia Fed Business Outlook,-10.7
11/16/12,Total Net TIC Flows,$4.70 
11/16/12,Net Long-term TIC Flows,$3.30 
11/16/12,Industrial Production MoM,-0.40%
11/16/12,Capacity Utilization,77.80%
11/16/12,Manufacturing (SIC) Production,-0.90%
11/19/12,NAHB Housing Market Index,46
11/19/12,Existing Home Sales,4.79
11/19/12,Existing Home Sales MoM,2.10%
11/20/12,Housing Starts,894
11/20/12,Housing Starts MoM,3.60%
11/20/12,Building Permits,866
11/21/12,MBA Mortgage Applications,-2.20%
11/21/12,Initial Jobless Claims,410
11/21/12,Continuing Claims,3337
11/21/12,Langer Consumer Comfort,-33.9
11/21/12,U. of Mich. Sentiment,82.7
11/21/12,Leading Index,0.20%
11/26/12,Chicago Fed Nat Activity Index,-0.56
11/26/12,Dallas Fed Manf. Activity,-2.8
11/27/12,Durable Goods Orders,0.00%
11/27/12,Durables Ex Transportation,1.50%
11/27/12,Cap Goods Orders Nondef Ex Air,1.70%
11/27/12,Cap Goods Ship Nondef Ex Air,-0.40%
11/27/12,Richmond Fed Manufact. Index,9
11/27/12,Conf. Board Consumer Confidence,73.7
11/27/12,FHFA House Price Index MoM,0.20%
11/27/12,House Price Purchase Index QoQ,1.10%
11/28/12,MBA Mortgage Applications,-0.90%
11/28/12,New Home Sales,368
11/28/12,New Home Sales MoM,-0.30%
11/29/12,GDP Annualized QoQ,2.70%
11/29/12,Personal Consumption,1.40%
11/29/12,GDP Price Index,2.70%
11/29/12,Core PCE QoQ,1.10%
11/29/12,Initial Jobless Claims,393
11/29/12,Continuing Claims,3287
11/29/12,Langer Consumer Comfort,-33
11/29/12,Pending Home Sales MoM,5.20%
11/29/12,Pending Home Sales NSA YoY,18.00%
11/29/12,Kansas City Fed Manf. Activity,-6
11/30/12,Personal Income,0.00%
11/30/12,Personal Spending,-0.20%
11/30/12,PCE Deflator MoM,0.10%
11/30/12,PCE Deflator YoY,1.70%
11/30/12,PCE Core Deflator MoM,0.10%
11/30/12,PCE Core Deflator YoY,1.60%
11/30/12,MNI Chicago PMI,50.4
12/3/12,ISM Manufacturing,49.5
12/3/12,ISM Prices Paid,52.5
12/3/12,Construction Spending MoM,1.40%
12/3/12,Wards Total Vehicle Sales,15.46
12/5/12,MBA Mortgage Applications,4.50%
12/5/12,ADP Employment Change,118
12/5/12,Nonfarm Productivity,2.90%
12/5/12,Unit Labor Costs,-1.90%
12/5/12,Factory Orders,0.80%
12/5/12,ISM Services Index,54.7
12/6/12,Challenger Job Cuts YoY,34.40%
12/6/12,Initial Jobless Claims,370
12/6/12,Continuing Claims,3205
12/6/12,Langer Consumer Comfort,-33.8
12/6/12,Household Change in Net Worth,"$1,722 "
12/7/12,Change in Nonfarm Payrolls,146
12/7/12,Change in Private Payrolls,147
12/7/12,Change in Manufact. Payrolls,-7
12/7/12,Unemployment Rate,7.70%
12/7/12,Average Hourly Earnings MoM,0.20%
12/7/12,Average Hourly Earnings YoY,1.70%
12/7/12,Average Weekly Hours All Employees,34.4
12/7/12,Underemployment Rate,14.40%
12/7/12,U. of Mich. Sentiment,74.5
12/7/12,Consumer Credit,$14.16 
12/11/12,NFIB Small Business Optimism,87.5
12/11/12,Trade Balance,($42.20)
12/11/12,Wholesale Inventories MoM,0.60%
12/11/12,JOLTS Job Openings,3675
12/12/12,MBA Mortgage Applications,6.20%
12/12/12,Import Price Index MoM,-0.90%
12/12/12,Import Price Index YoY,-1.60%
12/12/12,FOMC Rate Decision (Upper Bound),0.25%
12/12/12,Monthly Budget Statement,($172.10)
12/13/12,Retail Sales Advance MoM,0.30%
12/13/12,Retail Sales Ex Auto MoM,0.00%
12/13/12,Retail Sales Ex Auto and Gas,0.70%
12/13/12,Retail Sales Control Group,0.50%
12/13/12,Initial Jobless Claims,343
12/13/12,Continuing Claims,3198
12/13/12,Langer Consumer Comfort,-34.5
12/13/12,Business Inventories,0.40%
12/14/12,CPI MoM,-0.30%
12/14/12,CPI Ex Food and Energy MoM,0.10%
12/14/12,CPI YoY,1.80%
12/14/12,CPI Ex Food and Energy YoY,1.90%
12/14/12,CPI Index NSA,230.221
12/14/12,CPI Core Index SA,231.254
12/14/12,Industrial Production MoM,1.10%
12/14/12,Capacity Utilization,78.40%
12/14/12,Manufacturing (SIC) Production,1.10%
12/17/12,Empire Manufacturing,-8.1
12/17/12,Total Net TIC Flows,($56.70)
12/17/12,Net Long-term TIC Flows,$1.30 
12/18/12,Current Account Balance,($107.50)
12/18/12,NAHB Housing Market Index,47
12/19/12,MBA Mortgage Applications,-12.30%
12/19/12,Housing Starts,861
12/19/12,Housing Starts MoM,-3.00%
12/19/12,Building Permits,899
12/20/12,GDP Annualized QoQ,3.10%
12/20/12,Personal Consumption,1.60%
12/20/12,GDP Price Index,2.70%
12/20/12,Core PCE QoQ,1.10%
12/20/12,Initial Jobless Claims,361
12/20/12,Continuing Claims,3225
12/20/12,Langer Consumer Comfort,-31.9
12/20/12,Philadelphia Fed Business Outlook,8.1
12/20/12,Existing Home Sales,5.04
12/20/12,Existing Home Sales MoM,5.90%
12/20/12,Leading Index,-0.20%
12/20/12,FHFA House Price Index MoM,0.50%
12/21/12,Chicago Fed Nat Activity Index,0.1
12/21/12,Personal Income,0.60%
12/21/12,Personal Spending,0.40%
12/21/12,PCE Deflator MoM,-0.20%
12/21/12,PCE Deflator YoY,1.40%
12/21/12,PCE Core Deflator MoM,0.00%
12/21/12,PCE Core Deflator YoY,1.50%
12/21/12,Durable Goods Orders,0.70%
12/21/12,Durables Ex Transportation,1.60%
12/21/12,Cap Goods Orders Nondef Ex Air,2.70%
12/21/12,Cap Goods Ship Nondef Ex Air,1.80%
12/21/12,U. of Mich. Sentiment,72.9
12/21/12,Kansas City Fed Manf. Activity,-2
12/26/12,Richmond Fed Manufact. Index,5
12/27/12,Initial Jobless Claims,350
12/27/12,Continuing Claims,3206
12/27/12,Langer Consumer Comfort,-32.1
12/27/12,Conf. Board Consumer Confidence,65.1
12/27/12,New Home Sales,377
12/27/12,New Home Sales MoM,4.40%
12/28/12,MNI Chicago PMI,51.6
12/28/12,Pending Home Sales MoM,1.70%
12/28/12,Pending Home Sales NSA YoY,8.90%
12/31/12,Dallas Fed Manf. Activity,6.8
1/2/13,Construction Spending MoM,-0.30%
1/2/13,ISM Manufacturing,50.7
1/2/13,ISM Prices Paid,55.5
1/3/13,MBA Mortgage Applications,-10.40%
1/3/13,Challenger Job Cuts YoY,-22.10%
1/3/13,ADP Employment Change,215
1/3/13,Initial Jobless Claims,372
1/3/13,Continuing Claims,3245
1/3/13,Langer Consumer Comfort,-31.8
1/3/13,FOMC Meeting Minutes,--
1/3/13,Wards Total Vehicle Sales,15.3
1/4/13,Change in Nonfarm Payrolls,155
1/4/13,Change in Private Payrolls,168
1/4/13,Change in Manufact. Payrolls,25
1/4/13,Unemployment Rate,7.80%
1/4/13,Average Hourly Earnings MoM,0.30%
1/4/13,Average Hourly Earnings YoY,2.10%
1/4/13,Average Weekly Hours All Employees,34.5
1/4/13,Underemployment Rate,14.40%
1/4/13,Factory Orders,0.00%
1/4/13,ISM Services Index,56.1
1/8/13,NFIB Small Business Optimism,88
1/8/13,Consumer Credit,$16.05 
1/9/13,MBA Mortgage Applications,11.70%
1/10/13,Initial Jobless Claims,371
1/10/13,Continuing Claims,3109
1/10/13,Langer Consumer Comfort,-34.4
1/10/13,Wholesale Inventories MoM,0.60%
1/10/13,JOLTS Job Openings,3676
1/11/13,Import Price Index MoM,-0.10%
1/11/13,Import Price Index YoY,-1.50%
1/11/13,Trade Balance,($48.70)
1/11/13,Monthly Budget Statement,($0.30)
1/15/13,Empire Manufacturing,-7.8
1/15/13,Retail Sales Advance MoM,0.50%
1/15/13,Retail Sales Ex Auto MoM,0.30%
1/15/13,Retail Sales Ex Auto and Gas,0.60%
1/15/13,Retail Sales Control Group,0.60%
1/15/13,Business Inventories,0.30%
1/16/13,MBA Mortgage Applications,15.20%
1/16/13,CPI MoM,0.00%
1/16/13,CPI Ex Food and Energy MoM,0.10%
1/16/13,CPI YoY,1.70%
1/16/13,CPI Ex Food and Energy YoY,1.90%
1/16/13,CPI Core Index SA,231.475
1/16/13,CPI Index NSA,229.601
1/16/13,Total Net TIC Flows,$27.80 
1/16/13,Net Long-term TIC Flows,$52.30 
1/16/13,Industrial Production MoM,0.30%
1/16/13,Capacity Utilization,78.80%
1/16/13,Manufacturing (SIC) Production,0.80%
1/16/13,NAHB Housing Market Index,47
1/17/13,Housing Starts,954
1/17/13,Housing Starts MoM,12.10%
1/17/13,Building Permits,903
1/17/13,Initial Jobless Claims,335
1/17/13,Continuing Claims,3214
1/17/13,Langer Consumer Comfort,-35.5
1/17/13,Philadelphia Fed Business Outlook,-5.8
1/18/13,U. of Mich. Sentiment,71.3
1/22/13,Chicago Fed Nat Activity Index,0.02
1/22/13,Richmond Fed Manufact. Index,-12
1/22/13,Existing Home Sales,4.94
1/22/13,Existing Home Sales MoM,-1.00%
1/23/13,MBA Mortgage Applications,7.00%
1/23/13,FHFA House Price Index MoM,0.60%
1/24/13,Initial Jobless Claims,330
1/24/13,Continuing Claims,3157
1/24/13,Langer Consumer Comfort,-36.4
1/24/13,Leading Index,0.50%
1/24/13,Kansas City Fed Manf. Activity,-2
1/25/13,New Home Sales,369
1/25/13,New Home Sales MoM,-7.30%
1/28/13,Durable Goods Orders,4.60%
1/28/13,Durables Ex Transportation,1.30%
1/28/13,Cap Goods Orders Nondef Ex Air,0.20%
1/28/13,Cap Goods Ship Nondef Ex Air,0.30%
1/28/13,Pending Home Sales MoM,-4.30%
1/28/13,Pending Home Sales NSA YoY,4.90%
1/28/13,Dallas Fed Manf. Activity,5.5
1/29/13,Conf. Board Consumer Confidence,58.6
1/30/13,MBA Mortgage Applications,-8.10%
1/30/13,ADP Employment Change,192
1/30/13,GDP Annualized QoQ,-0.10%
1/30/13,Personal Consumption,2.20%
1/30/13,GDP Price Index,0.60%
1/30/13,Core PCE QoQ,0.90%
1/30/13,FOMC Rate Decision (Upper Bound),0.25%
1/31/13,Challenger Job Cuts YoY,-24.40%
1/31/13,Employment Cost Index,0.50%
1/31/13,Personal Income,2.60%
1/31/13,Personal Spending,0.20%
1/31/13,PCE Deflator MoM,0.00%
1/31/13,PCE Deflator YoY,1.30%
1/31/13,PCE Core Deflator MoM,0.00%
1/31/13,PCE Core Deflator YoY,1.40%
1/31/13,Initial Jobless Claims,368
1/31/13,Continuing Claims,3197
1/31/13,MNI Chicago PMI,55.6
1/31/13,Langer Consumer Comfort,-37.5
2/1/13,Change in Nonfarm Payrolls,157
2/1/13,Change in Private Payrolls,166
2/1/13,Change in Manufact. Payrolls,4
2/1/13,Unemployment Rate,7.90%
2/1/13,Average Hourly Earnings MoM,0.20%
2/1/13,Average Hourly Earnings YoY,2.10%
2/1/13,Average Weekly Hours All Employees,34.4
2/1/13,Underemployment Rate,14.40%
2/1/13,U. of Mich. Sentiment,73.8
2/1/13,Construction Spending MoM,0.90%
2/1/13,ISM Manufacturing,53.1
2/1/13,ISM Prices Paid,56.5
2/1/13,Wards Total Vehicle Sales,15.23
2/4/13,Factory Orders,1.80%
2/5/13,ISM Services Index,55.2
2/6/13,MBA Mortgage Applications,3.40%
